id_0,id_1
479,4103977
479,4492087
479,4777520
480,607
480,2648
480,6234
480,97123
480,158709
483,542
483,10226
483,2454271
487,556
491,711
491,70075
491,98371
491,126453
491,1511979
491,3830821
493,760
493,2301
493,2318
493,3233
493,6005
493,10620
493,15002
493,181041
493,283018
493,306898
493,1035779
493,1176860
493,1352674
495,5657
496,1902
496,5580
512,806
512,2395
512,5078
512,7056
512,7061
512,7081
512,9177
512,100675
512,116337
512,156229
512,179798
517,3242
517,5235
520,1147
520,5002
521,2059
521,3138
521,3864
523,1458
523,1760
523,2337
523,5102
523,4649104
525,9219
525,8058039
529,2236
529,5179221
531,2711
533,823
533,2947
536,2219
537,4501
542,724
542,1408
542,1903
542,2046
542,2514
542,2580
542,3201
542,3469
542,6822
542,10620
542,12243
542,13124
542,15691
542,16745
542,74398
542,169361
542,188932
542,243009
542,249599
542,253118
542,261965
542,262271
542,271922
542,310557
542,314870
542,368033
542,372781
542,378294
542,382937
542,471208
542,614223
542,805948
542,1000956
542,1020109
542,1141019
542,1188009
542,1200692
542,1429841
542,1538640
542,1678249
542,2699221
542,3265001
542,3968561
542,3977201
542,4331004
542,4492087
542,4652821
542,4740968
542,4777520
542,4860761
542,4937383
542,5068032
542,5203250
542,5425093
542,5992092
542,6396188
542,8058039
542,10799102
542,11363014
542,12816021
542,12948083
542,59070642
542,64927672
542,110616822
542,153042292
542,168158797
542,330311461
545,1214
545,5210
545,5983
545,15002
546,1861
546,6005
553,732
553,822
553,1159
553,1865
553,3416
553,8547
553,343290
553,4526180
553,4698748
553,7201102
553,14539467
556,791
556,805
556,1148
556,1536
556,2245
556,2301
556,2466
556,3170
556,4331
556,4962
556,5679
556,6005
556,6690
556,8347
556,9183
556,10597
556,66582
556,76863
556,84873
556,152366
556,168632
556,190393
556,298705
556,384236
564,892
564,1188
564,1446
564,4990
564,5828
564,12178
564,903536
564,4338602
564,4841158
564,4951751
564,13905711
564,15190997
566,810
566,13204
566,8114447
580,9549148
583,3469
583,152788
583,1658572
587,694
587,12039
587,262271
587,404049
587,661247
587,789285
587,5095554
587,5462679
593,574046
593,4999707
593,7890702
595,13124
597,71576
599,1285
605,2816
607,837
607,2508
607,3951
607,4352
607,6234
607,6707
607,10183
607,10620
607,15002
607,95527
607,97123
607,169954
607,283018
607,292263
607,306898
607,358748
607,368033
607,426684
607,440111
607,461402
607,470799
607,808106
607,1009000
607,1032901
607,1249649
607,5355950
608,3469
612,1128
612,4918
612,5983
614,617
614,1134
614,2059
614,2245
614,2337
614,3280
614,76064
614,1534419
617,805
617,1001
617,1032
617,1126
617,1444
617,1935
617,2059
617,3094
617,3493
617,4085
617,4088
617,13896
617,76064
617,361639
620,744
620,2059
620,2245
621,2025
626,785
626,2851
626,6815
626,13896
626,144474
628,8473
628,1362735
630,3187
630,554792
636,760
636,1945
637,776
637,10620
637,144474
641,2508
641,3951
641,71576
641,171883
644,1048
644,9907
646,1935
646,4568
646,292185
656,1017
664,867
666,2139
666,3614
669,898
669,1017
669,1501
669,2664
671,1560
671,1626
678,2047
685,1581
685,96491
685,1352674
685,4606399
687,2167
691,760
691,8686
698,1015202
698,1429841
698,9851680
700,75156
700,1272674
700,10583405
703,1184
705,1198612
707,903
707,4742
710,64998
710,116523
710,183821
710,298007
710,1104730
710,4028765
710,4606399
710,9896010
710,10189722
710,11301722
710,12029862
710,50030162
711,126453
711,405736
716,383528
718,938
718,70316
719,2326
719,3757
719,7010
719,4101336
722,508566
722,4042249
723,5679
724,997
724,1846
724,2959
724,3233
724,7304
724,64932
724,142381
724,152789
724,196045
724,306898
724,4104899
724,10052642
725,3839
725,15898
725,16708
725,75156
725,110587
725,176977
725,279489
725,379167
725,517429
725,614223
725,746471
725,1078812
725,1217914
725,1346855
725,1539580
725,1568566
725,4649104
725,7961888
725,8945638
725,10628057
725,11342468
725,49544582
728,805
728,69659
728,247319
728,12526056
732,849
732,1113
732,2059
732,193878
732,4443465
734,75354
734,4694728
734,10189104
737,2544
737,3505
743,4676
744,1935
744,2059
744,4032
744,76064
744,510086
744,8058039
745,1113
745,9219
745,15427
745,15691
745,472353
745,5942214
750,3649
750,12986
750,13011
750,17205
750,71106
750,259729
750,388973
750,404672
750,1191615
750,4429712
750,4842061
750,5593078
750,5594859
750,7637436
750,12526056
750,148696602
751,13501
752,2608
752,89657
753,1075
754,7004
755,4983
755,6815
755,7775
760,791
760,805
760,868
760,903
760,1201
760,1536
760,2245
760,2301
760,2466
760,2791
760,3170
760,3469
760,4962
760,5679
760,6005
760,9183
760,9219
760,16596
760,67835
760,69925
760,84873
760,168632
760,191266
760,298705
762,1202456
763,796
763,2541
763,9112
763,257128
763,4438587
763,6474027
771,306898
771,310557
771,661247
771,5068032
771,5462679
776,1222
776,2792
776,3839
776,7207
776,8741
776,13639
776,75156
776,110587
776,169361
776,176977
776,249599
776,279489
776,280294
776,280627
776,614223
776,661247
776,1346855
776,1511979
776,1611773
776,2829671
776,3830821
776,4860761
776,4974921
776,5297021
785,2851
785,13896
785,144474
791,805
791,1536
791,2245
791,2301
791,2466
791,3170
791,4331
791,4962
791,5679
791,6005
791,6690
791,9183
791,66582
791,76863
791,84873
791,144474
791,152366
791,168632
791,183201
791,190393
791,191266
791,298705
794,367387
796,2353
796,2541
796,2619
796,74309
796,100675
796,473230
796,1590752
796,1611773
796,4452092
796,6474027
796,7260670
796,11934257
799,2382
805,1075
805,1536
805,1935
805,2245
805,2301
805,2466
805,3170
805,3241
