artist_id,name,followers,link,country
8706544,Dua Lipa,8766400,https://www.deezer.com/artist/8706544,GB
12436,Miley Cyrus,7230439,https://www.deezer.com/artist/12436,US
193875,Demi Lovato,7055919,https://www.deezer.com/artist/193875,US
3469,Sia,8704229,https://www.deezer.com/artist/3469,AU
292185,Selena Gomez,5538425,https://www.deezer.com/artist/292185,US
311820,Ellie Goulding,6235117,https://www.deezer.com/artist/311820,GB
313,John Legend,3553207,https://www.deezer.com/artist/313,US
145,Beyoncé,12819400,https://www.deezer.com/artist/145,US
4974921,Fifth Harmony,2698709,https://www.deezer.com/artist/4974921,US
69925,P!nk,4654934,https://www.deezer.com/artist/69925,US
1097709,Sam Smith,5576652,https://www.deezer.com/artist/1097709,GB
5575105,Tory Lanez,763479,https://www.deezer.com/artist/5575105,CA
5578942,Doja Cat,2494492,https://www.deezer.com/artist/5578942,US
10375188,6lack,411502,https://www.deezer.com/artist/10375188,US
4925172,PARTYNEXTDOOR,895297,https://www.deezer.com/artist/4925172,CA
5531258,SZA,1323943,https://www.deezer.com/artist/5531258,US
7004075,Bryson Tiller,993384,https://www.deezer.com/artist/7004075,US
7397124,Brent Faiyaz,340094,https://www.deezer.com/artist/7397124,US
810507,G-Eazy,1083690,https://www.deezer.com/artist/810507,US
64374872,Chily,302734,https://www.deezer.com/artist/64374872,
13501,L'Algérino,1214998,https://www.deezer.com/artist/13501,FR
14718361,Benab,425941,https://www.deezer.com/artist/14718361,FR
1600816,GLK,475252,https://www.deezer.com/artist/1600816,FR
144020622,HLD,243212,https://www.deezer.com/artist/144020622,
9709594,JKSN,180153,https://www.deezer.com/artist/9709594,FR
65070,Mig,410801,https://www.deezer.com/artist/65070,FR
14,Gorillaz,3009233,https://www.deezer.com/artist/14,GB
69627,MGMT,1198514,https://www.deezer.com/artist/69627,US
1619572,Mac Demarco,555815,https://www.deezer.com/artist/1619572,CA
65574,Steve Lacy,274282,https://www.deezer.com/artist/65574,US
12607183,The Marías,145466,https://www.deezer.com/artist/12607183,US
12029862,Myke Towers,1702081,https://www.deezer.com/artist/12029862,PR
11289472,Rauw Alejandro,2132435,https://www.deezer.com/artist/11289472,PR
105047672,JHAYCO,239442,https://www.deezer.com/artist/105047672,PR
7961888,Anuel AA,2474727,https://www.deezer.com/artist/7961888,PR
4860761,J Balvin,10335587,https://www.deezer.com/artist/4860761,CO
8945638,Nio Garcia,472530,https://www.deezer.com/artist/8945638,PR
5536564,Arcangel,1703149,https://www.deezer.com/artist/5536564,US
517429,Yandel,1808882,https://www.deezer.com/artist/517429,PR
4485154,Alex Rose,482818,https://www.deezer.com/artist/4485154,
5844239,Darell,660432,https://www.deezer.com/artist/5844239,PR
4649104,Tainy,365239,https://www.deezer.com/artist/4649104,PR
4937383,Ozuna,4728797,https://www.deezer.com/artist/4937383,PR
7511588,Brytiago,738464,https://www.deezer.com/artist/7511588,PR
3922661,Mora,242001,https://www.deezer.com/artist/3922661,SE
1424602,Maluma,8070737,https://www.deezer.com/artist/1424602,CO
7208392,Lenny Tavarez,1040138,https://www.deezer.com/artist/7208392,PR
4056850,Dalex,794241,https://www.deezer.com/artist/4056850,PR
5849210,Justin Quiles,960230,https://www.deezer.com/artist/5849210,PR
5297021,KAROL G,3406296,https://www.deezer.com/artist/5297021,CO
9945206,Bryant Myers,1020250,https://www.deezer.com/artist/9945206,PR
4907510,Jok'air,944334,https://www.deezer.com/artist/4907510,FR
4510044,Laylow,579480,https://www.deezer.com/artist/4510044,FR
1412564,Nekfeu,2891115,https://www.deezer.com/artist/1412564,FR
5617685,Luidji,630119,https://www.deezer.com/artist/5617685,FR
5175734,Vald,1400710,https://www.deezer.com/artist/5175734,FR
15337813,Green Montana,193051,https://www.deezer.com/artist/15337813,BE
1473902,Lefa,515373,https://www.deezer.com/artist/1473902,FR
4856048,S-Crew,428126,https://www.deezer.com/artist/4856048,FR
3638541,Mister V,353049,https://www.deezer.com/artist/3638541,
4626477,Bekar,122173,https://www.deezer.com/artist/4626477,FR
80268952,Le Crime,137377,https://www.deezer.com/artist/80268952,
14478663,Mous-K,146922,https://www.deezer.com/artist/14478663,FR
4365815,ISS,236321,https://www.deezer.com/artist/4365815,FR
7853018,Graya,162020,https://www.deezer.com/artist/7853018,
9830972,Rousnam,154216,https://www.deezer.com/artist/9830972,
101739872,Fresh laDouille,447537,https://www.deezer.com/artist/101739872,FR
63519802,ISK,587537,https://www.deezer.com/artist/63519802,FR
9030084,Eddy de Pretto,466416,https://www.deezer.com/artist/9030084,FR
310260,Stromae,3474801,https://www.deezer.com/artist/310260,BE
4453455,Louane,1981784,https://www.deezer.com/artist/4453455,FR
1679838,Hoshi,760757,https://www.deezer.com/artist/1679838,FR
5497121,Bigflo & Oli,1470764,https://www.deezer.com/artist/5497121,FR
352336,Camélia Jordana,263836,https://www.deezer.com/artist/352336,FR
4889156,Clara Luciani,1030201,https://www.deezer.com/artist/4889156,FR
